State,Winner,Confidence
Alabama,REP,100%
Alaska,REP,100%
Arizona,REP,92%
Arkansas,REP,98%
California,DEM,100%
Colorado,DEM,100%
Connecticut,DEM,100%
Delaware,DEM,100%
District of Columbia,DEM,100%
Florida,DEM,99%
Georgia,REP,98%
Hawaii,DEM,100%
Idaho,REP,100%
Illinois,DEM,100%
Indiana,REP,81%
Iowa,DEM,100%
Kansas,REP,100%
Kentucky,REP,100%
Louisiana,REP,100%
Maine,DEM,100%
Maryland,DEM,100%
Massachusetts,DEM,100%
Michigan,DEM,100%
Minnesota,DEM,100%
Mississippi,REP,100%
Missouri,REP,50%
Montana,REP,87%
Nebraska,REP,99%
Nevada,DEM,98%
New Hampshire,DEM,100%
New Jersey,DEM,100%
New Mexico,DEM,99%
New York,DEM,100%
North Carolina,DEM,73%
North Dakota,DEM,61%
Ohio,DEM,100%
Oklahoma,REP,100%
Oregon,DEM,100%
Pennsylvania,DEM,100%
Rhode Island,DEM,100%
South Carolina,REP,100%
South Dakota,REP,93%
Tennessee,REP,94%
Texas,REP,100%
Utah,REP,100%
Vermont,DEM,100%
Virginia,DEM,100%
Washington,DEM,100%
West Virginia,REP,99%
Wisconsin,DEM,100%
Wyoming,REP,100%
