State,Winner,Confidence
Alabama,REP,100%
Alaska,REP,100%
Arizona,REP,94%
Arkansas,REP,99%
California,DEM,100%
Colorado,DEM,100%
Connecticut,DEM,100%
D.C.,DEM,100%
Delaware,DEM,100%
Florida,DEM,98%
Georgia,REP,98%
Hawaii,DEM,100%
Idaho,REP,100%
Illinois,DEM,100%
Indiana,REP,69%
Iowa,DEM,100%
Kansas,REP,100%
Kentucky,REP,100%
Louisiana,REP,99%
Maine,DEM,100%
Maryland,DEM,100%
Massachusetts,DEM,100%
Michigan,DEM,100%
Minnesota,DEM,100%
Mississippi,REP,100%
Missouri,DEM,70%
Montana,REP,75%
Nebraska,REP,99%
Nevada,DEM,99%
New Hampshire,DEM,100%
New Jersey,DEM,100%
New Mexico,DEM,99%
New York,DEM,100%
North Carolina,DEM,77%
North Dakota,DEM,61%
Ohio,DEM,100%
Oklahoma,REP,100%
Oregon,DEM,100%
Pennsylvania,DEM,100%
Rhode Island,DEM,100%
South Carolina,REP,100%
South Dakota,REP,93%
Tennessee,REP,94%
Texas,REP,100%
Utah,REP,100%
Vermont,DEM,100%
Virginia,DEM,100%
Washington,DEM,100%
West Virginia,REP,95%
Wisconsin,DEM,100%
Wyoming,REP,100%
