State,Winner,Confidence
Alabama,REP,100%
Alaska,REP,100%
Arizona,REP,100%
Arkansas,REP,95%
California,DEM,99%
Colorado,REP,99%
Connecticut,DEM,90%
Delaware,DEM,85%
District of Columbia,DEM,100%
Florida,REP,50%
Georgia,REP,100%
Hawaii,REP,54%
Idaho,REP,100%
Illinois,DEM,97%
Indiana,REP,100%
Iowa,REP,50%
Kansas,REP,100%
Kentucky,REP,100%
Louisiana,REP,100%
Maine,DEM,96%
Maryland,DEM,100%
Massachusetts,DEM,98%
Michigan,DEM,90%
Minnesota,DEM,98%
Mississippi,REP,88%
Missouri,REP,96%
Montana,REP,100%
Nebraska,REP,100%
Nevada,REP,97%
New Hampshire,DEM,67%
New Jersey,DEM,99%
New Mexico,REP,65%
New York,DEM,100%
North Carolina,REP,99%
North Dakota,REP,100%
Ohio,REP,61%
Oklahoma,REP,100%
Oregon,DEM,99%
Pennsylvania,DEM,97%
Rhode Island,DEM,100%
South Carolina,REP,100%
South Dakota,REP,100%
Tennessee,REP,100%
Texas,REP,100%
Utah,REP,100%
Vermont,DEM,96%
Virginia,REP,96%
Washington,DEM,96%
West Virginia,REP,87%
Wisconsin,REP,50%
Wyoming,REP,100%
